,species,lat,long
1237,"Phlebotomus similis Perfil'ev, 1963",37.5753,26.0306
1238,"Phlebotomus neglectus Tonnoir, 1921",37.6285,26.1042
1239,"Phlebotomus simici Nitzulescu, 1931",37.6285,26.1042
1240,"Phlebotomus similis Perfil'ev, 1963",37.6285,26.1042
1241,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.6314,26.1511
1242,"Phlebotomus neglectus Tonnoir, 1921",37.6258,26.1559
1244,"Phlebotomus simici Nitzulescu, 1931",37.6258,26.1559
1245,"Phlebotomus neglectus Tonnoir, 1921",37.6284,26.1608
1246,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.6284,26.1608
1247,"Phlebotomus neglectus Tonnoir, 1921",37.6292,26.1603
1249,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.6292,26.1603
1251,"Phlebotomus simici Nitzulescu, 1931",37.6292,26.1603
1253,"Phlebotomus similis Perfil'ev, 1963",37.6292,26.1603
1255,"Phlebotomus neglectus Tonnoir, 1921",37.6119,26.1385
1257,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.6119,26.1385
1258,"Phlebotomus simici Nitzulescu, 1931",37.6119,26.1385
1260,"Phlebotomus similis Perfil'ev, 1963",37.6119,26.1385
1261,"Phlebotomus neglectus Tonnoir, 1921",37.605,26.1383
1263,"Phlebotomus simici Nitzulescu, 1931",37.605,26.1383
1264,"Phlebotomus simici Nitzulescu, 1931",37.6113,26.1381
1265,"Phlebotomus simici Nitzulescu, 1931",37.6452,26.3291
1266,"Phlebotomus simici Nitzulescu, 1931",37.6338,26.2845
1268,"Phlebotomus simici Nitzulescu, 1931",37.6489,26.268
1269,"Phlebotomus neglectus Tonnoir, 1921",37.3646,26.5727
1270,"Phlebotomus simici Nitzulescu, 1931",37.3646,26.5727
1271,"Phlebotomus neglectus Tonnoir, 1921",37.359,26.5686
1272,"Phlebotomus simici Nitzulescu, 1931",37.359,26.5686
1274,"Phlebotomus similis Perfil'ev, 1963",37.3316,26.5456
1275,"Phlebotomus neglectus Tonnoir, 1921",37.3309,26.5452
1277,"Phlebotomus simici Nitzulescu, 1931",37.3309,26.5452
1278,"Phlebotomus similis Perfil'ev, 1963",37.3425,26.5547
1279,"Phlebotomus neglectus Tonnoir, 1921",37.3069,26.5401
1280,"Phlebotomus neglectus Tonnoir, 1921",37.2871,26.5602
1282,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.2871,26.5602
1284,"Phlebotomus simici Nitzulescu, 1931",37.2871,26.5602
1285,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.2935,26.5548
1286,"Phlebotomus similis Perfil'ev, 1963",37.2935,26.5548
1288,"Phlebotomus perfiliewi Parrot, 1930",37.2998,26.5435
1289,"Phlebotomus neglectus Tonnoir, 1921",37.1114,26.8644
1291,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1114,26.8644
1292,"Phlebotomus simici Nitzulescu, 1931",37.1114,26.8644
1293,"Phlebotomus neglectus Tonnoir, 1921",37.1116,26.8645
1295,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1116,26.8645
1296,"Phlebotomus similis Perfil'ev, 1963",37.1116,26.8645
1297,"Phlebotomus neglectus Tonnoir, 1921",37.1037,26.8862
1298,"Phlebotomus simici Nitzulescu, 1931",37.1037,26.8862
1299,"Phlebotomus neglectus Tonnoir, 1921",37.1127,26.861
1300,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1127,26.861
1301,"Phlebotomus neglectus Tonnoir, 1921",37.1121,26.8624
1302,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1121,26.8624
1304,"Phlebotomus neglectus Tonnoir, 1921",37.1251,26.8418
1306,"Phlebotomus neglectus Tonnoir, 1921",37.1562,26.8316
1307,"Phlebotomus neglectus Tonnoir, 1921",37.1595,26.8328
1308,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1595,26.8328
1309,"Phlebotomus simici Nitzulescu, 1931",37.1595,26.8328
1310,"Phlebotomus neglectus Tonnoir, 1921",37.1549,26.8568
1311,"Phlebotomus neglectus Tonnoir, 1921",37.1779,26.8033
1312,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1779,26.8033
1313,"Phlebotomus simici Nitzulescu, 1931",37.1779,26.8033
1314,"Phlebotomus neglectus Tonnoir, 1921",37.1782,26.8032
1316,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1782,26.8032
1318,"Phlebotomus simici Nitzulescu, 1931",37.1782,26.8032
1319,"Phlebotomus neglectus Tonnoir, 1921",37.178,26.8027
1320,"Phlebotomus neglectus Tonnoir, 1921",37.1914,26.8272
1321,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.1914,26.8272
